,loss,top_1_error,top_3_error,val_loss,val_top_1_error,val_top_3_error
0,2.0201878653122827,0.6138461488943834,0.34192306445195125,1.8553673354062168,0.5499999943104658,0.2636363465677608
1,1.7808918797052824,0.5453846101577465,0.2753846026383914,1.7731134376742623,0.5340909009630029,0.24999998780814084
2,1.6679044356712929,0.5007692217826843,0.21923075914382933,1.708668982440775,0.5113636336543343,0.2511363544247367
3,1.6106309450589693,0.4811538398265839,0.22846152919989365,1.6337345079942183,0.4613636312159625,0.2193181731484153
4,1.6023687869885714,0.48725867915797877,0.21621620609033063,1.6115465936335651,0.49659089744091034,0.23295453597198834
5,1.4065242093343002,0.4238461439426129,0.19153845356060908,1.5036824697797948,0.44772726026448334,0.19886362688107925
6,1.41302617421517,0.43846152608211225,0.19230768588873057,1.4911503398960286,0.46022725918076257,0.2011363519863649
7,1.36161501453473,0.4226922975136684,0.16923076327030476,1.5691324811090122,0.4693181731484153,0.22499998591162942
8,1.3995927063318399,0.4334615271825057,0.18576922462536738,1.4308342337608337,0.41022725674239074,0.1784090819683942
9,1.3425009034315132,0.4173745034284113,0.17027026345831087,1.5385815758596768,0.4568181715228341,0.21931817179376428
10,1.1995006951001974,0.36576921481352587,0.13999999715731695,1.3884999806230718,0.41477271101691504,0.1522727297110991
11,1.1975231940929707,0.37576921628071713,0.14192307683137748,1.5112258900295605,0.4329545375975696,0.2011363533410159
12,1.2122394969830146,0.3846153704019693,0.15999999917470492,1.3208433796059003,0.38295452974059363,0.17159090665253726
13,1.1607622527159178,0.35961536856798026,0.13692307884876545,1.371134106408466,0.3965908939188177,0.1761363527991555
14,1.2216101889444595,0.3806949669790084,0.13436293417882736,1.5067669234492562,0.4329545335336165,0.20340908521955664
15,1.059231215256911,0.33153845025942874,0.11923077289874737,1.552089506929571,0.45795453678477893,0.1988636309450323
16,1.0475147038698196,0.33307690849670996,0.1219230775649731,1.3616659383882175,0.3931817940690301,0.1738636331124739
17,1.1271065707390124,0.3542307555675507,0.13653846107996426,1.425451714884151,0.42613634738055145,0.21136362173340537
18,1.044933408498764,0.34461536545019883,0.11538461813559898,1.3149952563372524,0.37613634765148163,0.1465909101746299
19,1.091859118358509,0.346718134567084,0.12162162254215668,1.3583695278926329,0.3931818062608892,0.17159090529788623
20,0.9150878129097132,0.298846140733132,0.09692308352543758,1.40933242846619,0.40113634954799304,0.15909090773625809
21,0.9289079076968707,0.3061538292811467,0.10038461960279024,1.4061119759624654,0.41249998997558246,0.1829545416615226
22,0.9830149595554059,0.30384613825724677,0.10884615457974947,1.376170957630331,0.4056818051771684,0.17954544993964108
23,0.9716462089465214,0.3065384456744561,0.09500000339287978,1.4109837900508533,0.4045454426245256,0.1761363609270616
24,0.9961338128362384,0.32200770948844526,0.11042471419890415,1.4427699676968835,0.4352272572842511,0.20227271860296075
25,0.8896993946570616,0.2942307554758512,0.08538461877749516,1.395760876211253,0.40795452892780304,0.16818181493065573
26,0.863772612122389,0.28423075446715723,0.08500000696915846,1.4440208416093478,0.4056818051771684,0.16704545644196597
27,0.9312089792810954,0.3088461385323451,0.09230769689266498,1.465572410009124,0.41136362064968457,0.1840909028595144
28,0.9091603728441092,0.29538460007080664,0.09192308462583101,1.4564643380316822,0.42272725294936786,0.17954544858499008
29,0.9501434868367022,0.297683382356489,0.09613899972908285,1.3269592415202747,0.38181816989725287,0.16136363419619473
30,0.7694464777524654,0.2680769127148848,0.07500000550196721,1.3606012978337028,0.4238636249845678,0.17159090665253726
31,0.7733490460194075,0.2549999897296612,0.0723076990017524,1.373996752229604,0.38636362146247516,0.1681818108667027
32,0.75942524683017,0.24769229522118202,0.0676923142029689,1.4655722826719284,0.4249999902465127,0.18749999593604694
33,0.8417698642382255,0.2799999828522022,0.08230769817645733,1.4920770715583453,0.41249998997558246,0.17954544993964108
34,0.9013885561103526,0.2861003691625411,0.09266409542569783,1.4234283729033037,0.39886361902410333,0.17272726785052905
35,0.746740220601742,0.24346152956669148,0.06961539112604581,1.4221545227549293,0.4056818024678664,0.1738636317578229
36,0.7508813666609617,0.24692306656103868,0.07230770175273601,1.3524609262293035,0.3772727142680775,0.16249999674883756
37,0.7685845126326267,0.25230768139545734,0.07538462327076839,1.4033955850384452,0.4056818038225174,0.17727271941575137
38,0.7556041976580253,0.2476922970551711,0.06384616219080412,1.4341263743964108,0.4068181663751602,0.17386363446712494
39,0.7549820093574672,0.24633203418098362,0.06949807686234993,1.378304203802889,0.380681803280657,0.16590908711606805
